C/1980 V1   1B   1.520  101.0  +0.003973  +0.003516  +0.004047
C/1980 Y1   1A   0.260  138.6  +0.000964  +0.001058  +0.001873
C/1980 Y2   1A   1.657   82.6  +0.000581  +0.000619  +0.001045
C/1981 G1   1A   4.743  115.3  +0.000142  -0.000139  -0.000012
C/1981 H1   1B   2.458  160.7  +0.000703  +0.000398  +0.000699
C/1981 M1   2A   2.334  107.1  +0.000900  +0.000259  +0.000420
C/1982 M1   1B   0.648   84.5  +0.001666  +0.000924  +0.000855
C/1983 H1   2A   0.991   73.3  +0.010466  +0.009972  +0.010572
C/1983 J1   2B   0.471   96.6  +0.000378  -0.000042  +0.000543
C/1983 N1   1B   2.418  138.8  +0.000448  +0.000240  +0.000324
C/1983 O1   1A   3.318  134.7  +0.000048  -0.000593  -0.000192
C/1983 O2   1B   2.255  120.7  -0.000018  -0.000087  +0.000402
C/1983 R1   1A   3.345  137.6  +0.000557  -0.000045  +0.000239
C/1984 K1   1A   2.697  116.7  +0.000465  -0.000267  +0.000742
C/1984 N1   1B   0.291  164.2  +0.000510  +0.000528  +0.001622
C/1984 U1   1A   5.489  179.2  +0.001547  +0.000873  +0.001592
C/1984 U2   1B   1.215   13.9  +0.024274  +0.023956  +0.023843
C/1984 V1   1B   0.918   65.7  +0.001299  +0.000812  +0.000773
C/1984 W2   1A   4.000   89.3  +0.000020  +0.000105  -0.000033
C/1985 T1   1A   1.317  139.1  +0.013106  +0.012681  +0.012673
C/1986 E1   1B   3.594  159.8  +0.015577  +0.014809  +0.015623
C/1986 N1   1A   2.642  114.9  +0.000693  +0.000176  +0.000696
C/1986 V1   1A   1.721  160.6  +0.000373  +0.000053  +0.000223
C/1987 A1   2A   0.921   96.6  -0.000121  -0.000416  -0.000164
C/1987 B1   2A   0.870  172.2  +0.005034  +0.004897  +0.005209
C/1987 F1   1A   3.625  124.1  +0.000059  -0.000278  +0.000177
C/1987 H1   1A   5.458  132.5  +0.000046  -0.000520  -0.000005
C/1987 P1   1A   0.869   34.1  +0.006380  +0.006058  +0.007415
C/1987 Q1   1B   0.603  114.9  +0.000526  -0.000725  -0.000417
C/1987 U3   1B   0.841   97.1  +0.001491  +0.001341  +0.002323
C/1987 W2   1A   1.680  117.8  +0.000258  -0.000120  -0.000002
C/1987 W3   1A   3.333   76.7  +0.000029  -0.001430  -0.000358
C/1988 A1   1B   0.841   73.3  +0.004881  +0.004083  +0.004310
C/1988 B1   1A   5.031   80.6  +0.000013  -0.000501  -0.000115
C/1988 F1   2A   1.174   62.8  +0.001725  +0.001860  +0.002493
C/1988 J1   2A   1.174   62.8  +0.001735  +0.001848  +0.002436
C/1988 L1   1A   2.474   97.7  +0.000137  -0.000229  +0.000249
C/1989 A1   1B   1.895   52.4  +0.001374  +0.000677  +0.000623
C/1989 A5   2B   2.640   96.6  +0.002403  +0.001826  +0.001946
C/1989 T1   1B   1.047   46.0  +0.009529  +0.008921  +0.009910
C/1989 W1   2A   0.301   88.4  +0.000658  -0.000160  -0.000091
C/1989 X1   1A   0.350   59.0  +0.000032  -0.000643  -0.000356
C/1989 Y1   1A   1.569   59.4  +0.000049  -0.000196  +0.000637
C/1990 M1   1B   2.682  132.8  +0.000040  -0.000447  -0.000242
C/1990 N1   2A   1.092  143.8  +0.004692  +0.004287  +0.004506
C/1991 A2   2B   1.434   71.0  +0.007014  +0.006619  +0.007380
C/1991 B1   1A   2.265   77.3  +0.003023  +0.002866  +0.003087
C/1991 C3   1B   4.777  113.4  +0.000167  -0.000370  +0.001414
C/1991 F2   1A   1.518   95.5  +0.000016  -0.000284  -0.000113
C/1991 L4   1B   4.850   49.3  +0.000304  -0.000017  -0.000065
C/1991 Q1   1B   3.194   90.5  +0.001699  +0.001697  +0.001813
C/1991 R1   1A   6.986  104.5  +0.000283  +0.000090  +0.000352
C/1991 T2   1A   0.836  113.5  +0.000936  +0.000166  +0.000431
