   .214D+01     .0381  351.4675     .7855  357.2494
   .214D+01     .0380  351.7757     .7530     .2485
   .215D+01     .0378  352.0789     .7243    3.3255
   .215D+01     .0376  352.3772     .6993    6.4652
   .216D+01     .0374  352.6706     .6775    9.6504
   .216D+01     .0372  352.9592     .6589   12.8620
   .217D+01     .0371  353.2432     .6433   16.0800
   .217D+01     .0369  353.5225     .6303   19.2843
   .218D+01     .0368  353.7973     .6199   22.4552
   .218D+01     .0366  354.0677     .6118   25.5741
   .219D+01     .0365  354.3337     .6057   28.6244
   .219D+01     .0364  354.5954     .6016   31.5916
   .219D+01     .0362  354.8528     .5991   34.4639
   .220D+01     .0361  355.1062     .5982   37.2321
   .221D+01     .0360  355.3554     .5986   39.8894
   .221D+01     .0359  355.6007     .6003   42.4317
   .221D+01     .0358  355.8421     .6029   44.8568
   .222D+01     .0357  356.0796     .6065   47.1646
   .223D+01     .0356  356.3134     .6108   49.3564
   .223D+01     .0355  356.5434     .6158   51.4347
   .223D+01     .0354  356.7698     .6214   53.4031
   .224D+01     .0353  356.9927     .6275   55.2657
   .225D+01     .0352  357.2120     .6340   57.0272
   .225D+01     .0351  357.4279     .6408   58.6925
   .225D+01     .0351  357.6405     .6478   60.2667
   .226D+01     .0350  357.8497     .6551   61.7547
   .227D+01     .0349  358.0557     .6626   63.1617
   .227D+01     .0349  358.2585     .6702   64.4924
   .227D+01     .0348  358.4582     .6779   65.7516
   .228D+01     .0347  358.6549     .6856   66.9437
   .229D+01     .0347  358.8485     .6934   68.0730
   .229D+01     .0346  359.0392     .7012   69.1435
   .229D+01     .0346  359.2270     .7090   70.1589
   .230D+01     .0345  359.4120     .7168   71.1228
   .231D+01     .0345  359.5942     .7245   72.0384
   .231D+01     .0344  359.7737     .7322   72.9090
   .231D+01     .0344  359.9505     .7398   73.7372
   .232D+01     .0343     .1246     .7473   74.5259
   .233D+01     .0343     .2962     .7548   75.2774
   .233D+01     .0342     .4653     .7622   75.9941
   .233D+01     .0342     .6318     .7695   76.6781
   .234D+01     .0342     .7960     .7767   77.3314
   .235D+01     .0341     .9578     .7838   77.9559
   .235D+01     .0341    1.1172     .7909   78.5532
   .235D+01     .0341    1.2743     .7978   79.1251
   .236D+01     .0340    1.4292     .8046   79.6728
   .237D+01     .0340    1.5818     .8113   80.1980
